params,values,,,,
field,KW_Merged,,,,
ngrams,1,,,,
method,MCA,,,,
minDegree,6,,,,
clust,1,,,,
k.max,8,,,,
stemming,FALSE,,,,
labelsize,5,,,,
documents,5,,,,
graph,FALSE,,,,
,,,,,
,,,,,
word,Dim1,Dim2,cluster,,
"carole l. yue, 2013, s61703936",0.1,0.1,0,87,1
"benjamin c. storm, 2008, s18666220",-0.11,-0.11,0,82,1
"patricia a. dewinstanley, 2002, s96205195",0.37,0.37,0,81,1
"nicholas c. soderstrom, 2014, s53787413",-0.37,-0.37,0.01,80,1
"benjamin c. storm, 2007, s59062809",0.05,0.05,0,78,1
"elizabeth ligon bjork, 2003, s18666220",-0.47,-0.47,0.01,76,1
"catherine o. fritz, 2000, s179213746",-0.88,-0.88,0.02,72,1
"matthew hays, 2010, s138679565",0.11,0.11,0,66,1
"benjamin c. storm, 2012, s2765022084",-0.08,-0.08,0,65,1
"a richardson-klavehn, 1994, s114265899",0.06,0.06,0,64,1
"robert a. bjork, 2005, s4306523994",0.27,0.27,0,62,1
"robert a. bjork, 1979, s168863630",0,0,0,61,1
"james g. greeno, 1973, s90670110",0.2,0.2,0,53,1
"veronica x. yan, 2017, s79587319",0.36,0.36,0,52,1
"walter reitman, 1973, s17882476",0.12,0.12,0,52,1
"john a. swets, 1990, s58854535",0.27,0.27,0,50,1
"allison d. cantor, 2014, s114265899",0.13,0.13,0,48,1
"aaron s. benjamin, 2000, s18666220",-0.07,-0.07,0,46,1
"robert a. bjork, 1978, s4210236024",0.2,0.2,0,45,1
"nicholas c. soderstrom, 2015, s58854535",-0.07,-0.07,0.01,44,1
"benjamin c. storm, 2005, s53787413",0.01,0.01,0,43,1
"ariel j. lang, 1999, s82332189",0.17,0.17,0,40,1
"elizabeth j. marsh, 2012, s47258695",-0.06,-0.06,0,39,1
"sharon m. noh, 2016, s88198767",0.14,0.14,0,39,1
"robert a. bjork, 2018, s27228949",0.18,0.18,0,38,1
"jason r. finley, 2011, s53787413",0.08,0.08,0,37,1
"veronica x. yan, 2014, s114265899",0.17,0.17,0,36,1
"dominic a. simon, 2002, s79587319",0.09,0.09,0,36,1
"robert a. bjork, 1973, s80146597",0.19,0.19,0,31,1
"david g. elmes, 1975, s17882476",-1.16,-1.16,0.03,30,1
"haley a. vlach, 2014, s201005279",-0.14,-0.14,0,30,1
